基金代码,基金全称
001030,天弘云端生活优选灵活配置混合型证券投资基金
001037,国投瑞银锐意改革灵活配置混合型证券投资基金
001053,南方创新经济灵活配置混合型证券投资基金
001056,北信瑞丰健康生活主题灵活配置混合型证券投资基金
001059,中金绝对收益策略定期开放混合型发起式证券投资基金
001060,前海开源高端装备制造灵活配置混合型证券投资基金
001067,鹏华弘盛灵活配置混合型证券投资基金
001068,国新国证新锐灵活配置混合型证券投资基金
001069,华泰柏瑞消费成长灵活配置混合型证券投资基金
001071,华安媒体互联网混合型证券投资基金
001073,华泰柏瑞量化绝对收益策略定期开放混合型发起式证券投资基金
001074,华泰柏瑞量化驱动灵活配置混合型证券投资基金
001075,宝盈转型动力灵活配置混合型证券投资基金
001076,易方达改革红利混合型证券投资基金
001088,华宝国策导向混合型证券投资基金
001102,前海开源国家比较优势灵活配置混合型证券投资基金
001103,前海开源工业革命4.0灵活配置混合型证券投资基金
001106,华商健康生活灵活配置混合型证券投资基金
001110,中欧瑾泉灵活配置混合型证券投资基金
001111,中欧瑾泉灵活配置混合型证券投资基金
001112,东方红中国优势灵活配置混合型证券投资基金
001115,广发聚安混合型证券投资基金
001116,广发聚安混合型证券投资基金
001117,中欧精选灵活配置定期开放混合型发起式证券投资基金
001118,华宝事件驱动混合型证券投资基金
001119,国投瑞银新回报灵活配置混合型证券投资基金
001120,东方睿鑫热点挖掘灵活配置混合型证券投资基金
001121,东方睿鑫热点挖掘灵活配置混合型证券投资基金
001122,鹏华弘利灵活配置混合型证券投资基金
001123,鹏华弘利灵活配置混合型证券投资基金
001125,博时互联网主题灵活配置混合型证券投资基金
001127,中银宏观策略灵活配置混合型证券投资基金
001128,宝盈新兴产业灵活配置混合型证券投资基金
001135,益民品质升级灵活配置混合型证券投资基金
001136,易方达裕如灵活配置混合型证券投资基金
001139,华安新动力灵活配置混合型证券投资基金
001140,工银瑞信总回报灵活配置混合型证券投资基金
001141,泰达宏利创盈灵活配置混合型证券投资基金
001142,泰达宏利创盈灵活配置混合型证券投资基金
001143,华商量化进取灵活配置混合型证券投资基金
001144,大成互联网思维混合型证券投资基金
001146,中欧瑾源灵活配置混合型证券投资基金
001147,中欧瑾源灵活配置混合型证券投资基金
001148,申万菱信多策略灵活配置混合型证券投资基金
001150,融通互联网传媒灵活配置混合型证券投资基金
001152,融通新区域新经济灵活配置混合型证券投资基金
001154,北信瑞丰平安中国主题灵活配置混合型证券投资基金
001156,申万菱信新能源汽车主题灵活配置混合型证券投资基金
001157,国联安睿祺灵活配置混合型证券投资基金
001159,大成景秀灵活配置混合型证券投资基金
001164,中欧琪和灵活配置混合型证券投资基金
001165,中欧琪和灵活配置混合型证券投资基金
001170,宏利复兴伟业灵活配置混合型证券投资基金
001172,鹏华弘泽灵活配置混合型证券投资基金
001173,中欧瑾和灵活配置混合型证券投资基金
001174,中欧瑾和灵活配置混合型证券投资基金
001179,德邦大健康灵活配置混合型证券投资基金
001181,南方改革机遇灵活配置混合型证券投资基金
001182,易方达安心回馈混合型证券投资基金
001183,南方利淘灵活配置混合型证券投资基金
001184,易方达新常态灵活配置混合型证券投资基金
001185,安信动态策略灵活配置混合型证券投资基金
001189,广发聚宝混合型证券投资基金
001190,鹏华弘润灵活配置混合型证券投资基金
001191,鹏华弘润灵活配置混合型证券投资基金
001192,摩根整合驱动灵活配置混合型证券投资基金
001194,景顺长城稳健回报灵活配置混合型证券投资基金
001196,东方鼎新灵活配置混合型证券投资基金
001197,长盛转型升级主题灵活配置混合型证券投资基金
001198,东方惠新灵活配置混合型证券投资基金
001201,申万菱信安鑫回报灵活配置混合型证券投资基金
001202,东方红领先精选灵活配置混合型证券投资基金
001203,东方红稳健精选混合型证券投资基金
001204,东方红稳健精选混合型证券投资基金
001205,建信稳健回报灵活配置混合型证券投资基金
001209,前海开源一带一路主题精选灵活配置混合型证券投资基金
001210,天弘互联网灵活配置混合型证券投资基金
001215,博时沪港深优质企业灵活配置混合型证券投资基金
001216,易方达新收益灵活配置混合型证券投资基金
001217,易方达新收益灵活配置混合型证券投资基金
001218,国投瑞银精选收益灵活配置混合型证券投资基金
001219,摩根动态多因子策略灵活配置混合型证券投资基金
001220,民生加银研究精选灵活配置混合型证券投资基金
001221,国联安鑫富混合型证券投资基金
001222,鹏华外延成长灵活配置混合型证券投资基金
001224,中邮新思路灵活配置混合型证券投资基金
001225,中邮趋势精选灵活配置混合A
001226,中邮稳健添利灵活配置混合型证券投资基金
001227,中邮信息产业灵活配置混合型证券投资基金
001228,国联安鑫享灵活配置混合型证券投资基金
001229,德邦福鑫灵活配置混合型证券投资基金
001231,银华泰利灵活配置混合型证券投资基金
001239,长盛国企改革主题灵活配置混合型证券投资基金
001244,华泰柏瑞量化智慧灵活配置混合型证券投资基金
001247,华泰柏瑞新利灵活配置混合型证券投资基金
001249,易方达新利灵活配置混合型证券投资基金
001250,天弘新活力灵活配置混合型发起式证券投资基金
001252,中海进取收益灵活配置混合型证券投资基金
001253,建信回报灵活配置混合型证券投资基金
001254,宏利新起点灵活配置混合型证券投资基金
001255,长城改革红利灵活配置混合型证券投资基金
001256,泓德优选成长混合型证券投资基金
001260,广发安心回报混合型证券投资基金
001261,国联新机遇灵活配置混合型证券投资基金
001262,大成景明灵活配置混合型证券投资基金
